yearly_compensation
21
22
21
7
12
6
7
2
1
19
10
10
16
22
2
17
0
0
0
8
18
7
17
8
0
5
13
18
2
13
2
20
19
22
4
0
13
1
0
8
13
21
7
23
16
16
0
18
12
4
22
0
6
13
0
16
0
0
10
6
21
19
20
3
13
22
6
15
3
6
6
4
5
10
3
6
3
0
13
2
8
19
17
2
10
1
0
15
17
5
16
8
13
17
3
8
16
16
4
10
0
2
16
10
8
8
18
15
2
5
13
16
2
0
22
5
20
10
21
7
11
19
3
9
2
8
7
1
6
22
20
0
20
3
0
9
16
15
19
8
23
7
16
21
22
18
16
10
0
0
2
2
2
13
3
1
4
7
5
19
17
16
5
21
19
2
17
13
2
17
15
19
12
7
3
10
18
5
0
0
0
17
13
19
13
2
1
2
3
5
0
0
21
16
10
23
16
0
4
18
13
5
9
17
15
21
7
2
16
16
21
13
3
2
1
0
6
19
0
5
8
18
13
21
17
18
19
2
22
17
9
0
3
9
3
5
0
13
17
13
15
10
6
8
5
6
2
2
6
18
1
22
6
18
10
19
22
3
2
19
6
21
18
3
20
20
12
3
22
2
16
18
18
18
0
13
10
16
6
20
1
4
0
19
0
13
7
12
6
5
15
0
20
24
15
2
4
6
16
22
18
3
8
21
20
6
0
12
13
20
12
13
19
21
7
6
12
2
2
18
16
2
6
15
4
16
16
18
0
19
18
0
19
4
19
4
13
13
16
0
10
22
21
20
0
16
16
6
0
6
0
0
0
19
21
0
4
13
19
13
10
0
15
4
6
21
1
2
1
13
8
16
17
2
10
3
13
13
11
8
2
17
6
18
19
0
16
5
6
16
16
20
21
19
1
8
22
13
9
2
18
13
3
8
0
2
19
22
20
12
3
7
0
18
4
3
0
3
13
4
5
3
10
3
19
19
6
13
3
21
18
19
3
15
1
4
2
0
16
1
1
0
2
19
22
15
1
13
0
1
3
2
3
7
19
3
10
7
23
22
8
15
23
0
7
11
4
6
0
18
6
12
20
19
2
5
0
13
2
19
5
2
15
2
16
8
17
5
20
22
18
22
15
0
6
4
24
3
15
4
2
1
0
0
19
0
0
16
13
18
18
13
19
21
23
5
5
19
5
3
4
3
1
16
13
16
23
8
7
3
13
21
16
0
21
10
5
21
1
2
1
18
23
19
21
0
10
8
13
19
17
22
4
0
0
16
17
17
0
13
18
1
10
5
5
21
0
0
7
8
19
16
18
9
5
0
20
19
7
10
18
15
2
5
10
8
13
3
19
0
13
5
16
16
20
7
16
16
19
8
16
1
22
22
5
3
0
5
3
6
4
3
20
8
3
5
0
9
5
0
15
20
17
16
0
10
0
18
17
21
6
3
0
3
5
1
18
16
20
12
7
20
4
20
20
4
13
7
21
13
0
21
23
3
8
2
1
16
13
11
18
22
15
5
19
13
18
1
8
18
10
3
3
0
6
5
22
6
0
19
12
10
0
4
20
10
4
3
1
17
10
20
0
19
4
3
13
2
16
16
12
3
5
2
3
1
0
3
8
7
0
22
3
3
13
2
18
21
7
22
20
10
19
0
16
17
15
19
17
8
5
9
21
4
23
4
0
0
18
13
13
18
5
3
18
1
8
2
19
15
18
4
20
4
1
15
17
0
6
19
16
15
2
3
18
13
17
12
17
5
5
7
20
21
1
0
16
2
2
17
13
9
19
21
6
1
6
24
22
13
20
2
16
10
0
4
19
10
6
19
0
23
22
17
7
19
17
1
18
19
0
11
2
18
15
0
3
15
17
7
17
17
0
16
11
16
16
14
0
17
17
4
4
22
11
16
5
5
0
23
22
17
19
6
3
21
16
1
4
10
13
20
10
2
18
8
5
8
0
23
13
16
17
18
13
19
13
6
16
4
16
17
15
3
23
8
0
6
22
19
18
1
17
2
19
18
4
2
2
0
5
12
13
21
22
14
3
19
0
2
18
4
13
0
2
0
0
16
5
9
2
5
18
0
13
17
19
17
0
22
13
19
8
8
13
1
2
16
18
18
0
2
3
18
3
0
20
16
6
0
2
22
5
3
17
13
0
13
0
20
18
13
13
2
2
15
20
22
22
15
16
21
7
20
15
11
10
13
23
21
6
16
7
5
18
8
16
15
2
3
18
19
1
1
18
3
18
3
15
5
21
0
3
22
2
4
15
14
3
3
13
0
18
10
16
0
4
4
0
19
6
10
17
21
22
13
7
16
16
20
3
1
7
19
8
2
6
4
23
0
17
2
15
7
6
12
19
0
23
4
3
6
8
15
2
6
10
17
8
8
7
3
13
1
1
16
10
16
5
1
22
0
13
23
1
13
2
7
3
6
7
1
0
2
13
16
20
4
6
23
15
18
7
7
12
21
10
0
5
15
10
19
21
16
12
7
5
0
5
7
3
18
2
13
6
13
18
2
2
17
6
3
19
13
13
21
0
23
20
13
23
13
10
0
5
12
21
6
0
23
18
24
16
0
23
6
2
16
0
6
8
15
3
23
23
19
0
2
10
18
2
16
18
3
3
0
0
2
11
19
0
9
15
18
15
5
13
18
16
3
11
2
4
20
4
18
16
21
4
3
0
3
23
2
21
3
5
19
0
3
22
23
0
21
0
21
20
1
3
4
4
6
22
0
8
23
7
10
18
16
21
19
2
1
5
5
6
0
2
21
12
3
0
18
7
18
1
8
23
0
2
16
19
0
6
13
1
13
1
12
20
0
6
16
19
0
18
5
2
16
10
13
2
1
6
10
18
16
2
4
6
10
3
16
5
0
22
4
2
23
2
23
20
0
3
10
19
17
13
18
6
19
12
18
2
22
1
3
10
15
5
16
21
7
18
21
19
3
20
0
0
2
1
2
22
10
6
6
3
17
13
0
22
12
3
12
21
16
16
8
3
13
18
16
0
16
3
2
16
16
5
12
16
21
21
19
6
1
0
12
8
15
19
10
7
20
3
6
0
1
18
7
16
0
17
16
2
20
19
0
8
21
4
10
8
23
4
8
17
8
16
2
18
22
7
8
18
3
9
15
2
0
17
5
12
16
9
4
0
12
7
8
0
0
16
1
13
0
0
22
16
13
0
1
8
18
8
3
18
3
20
7
18
10
6
15
18
16
1
23
18
18
21
21
10
19
15
22
3
9
23
8
0
2
7
8
2
20
21
12
6
16
22
0
10
18
0
18
10
6
1
0
10
5
2
20
5
15
12
8
16
4
23
5
2
0
21
6
3
6
4
23
3
0
1
18
14
6
21
0
11
8
13
20
0
4
0
2
16
15
12
1
4
0
21
2
13
22
21
19
17
21
13
7
21
4
6
18
6
17
19
2
0
4
8
0
0
2
5
0
1
9
3
19
0
10
7
16
6
6
20
1
12
0
22
8
2
20
23
18
7
8
0
18
23
17
14
8
2
2
0
20
0
16
9
5
22
16
4
19
2
5
2
22
20
4
2
0
20
17
0
0
0
9
18
13
6
12
16
15
13
18
0
18
5
5
18
8
16
10
0
1
0
6
23
17
3
1
16
0
19
13
21
21
0
4
2
2
19
14
11
13
23
18
21
7
0
18
15
7
0
10
17
5
7
0
21
19
4
3
22
0
1
8
7
15
8
2
2
22
13
6
20
4
3
8
8
17
0
17
5
4
19
22
8
22
12
21
6
13
6
22
16
8
13
4
13
21
9
19
2
21
10
22
20
1
18
6
8
10
2
10
12
13
22
13
4
3
3
3
3
3
7
0
23
1
20
0
1
22
1
4
18
0
17
18
13
16
18
4
6
20
6
6
2
22
7
17
18
3
22
2
3
0
18
6
2
0
7
14
2
18
15
6
1
3
1
8
16
16
20
2
19
3
7
2
16
0
18
1
21
1
16
2
13
24
0
16
18
3
20
17
20
1
17
20
12
23
5
17
0
0
8
0
8
1
23
1
2
8
20
18
2
3
24
4
12
16
1
6
6
15
7
12
9
10
8
3
1
18
7
3
7
4
2
7
0
5
10
3
17
10
21
13
18
22
22
22
13
22
18
23
8
13
17
7
21
13
22
4
1
8
19
19
13
6
13
10
0
4
17
13
22
16
21
21
0
23
1
4
17
9
8
2
2
0
0
5
22
1
8
22
24
18
17
2
21
0
4
17
16
16
3
2
6
3
10
5
0
7
15
12
0
17
2
13
21
1
16
3
19
7
13
18
10
18
17
13
15
3
2
3
18
0
21
3
2
18
0
17
8
13
12
5
22
10
17
13
3
4
0
0
13
16
18
6
0
20
6
4
21
4
8
0
9
21
13
10
10
2
2
13
1
0
16
10
10
13
13
10
1
17
3
3
23
13
0
12
5
0
7
4
10
0
8
23
17
16
0
17
8
2
10
11
4
2
3
14
2
18
24
21
16
5
0
13
19
10
13
3
3
20
13
13
21
2
5
6
8
4
6
7
16
1
8
0
0
17
3
13
19
13
10
18
20
19
2
12
0
18
18
5
10
16
4
5
22
16
0
21
3
12
8
4
18
4
20
0
16
5
2
7
15
12
13
10
10
0
9
8
13
13
5
23
8
16
5
8
12
0
3
5
17
0
22
3
13
16
8
7
8
22
8
1
15
12
6
9
2
1
5
15
0
8
13
0
6
0
3
10
17
2
13
7
8
2
17
4
19
3
15
17
3
22
18
8
15
13
13
13
4
3
0
21
19
3
1
0
1
24
23
0
16
0
3
18
9
4
5
19
2
8
17
1
8
2
8
16
12
21
19
22
0
17
18
0
16
16
5
5
7
13
10
17
4
1
18
17
17
23
16
15
16
4
9
20
